table,column
photoobj,modelFluxIvar_z
photoobj,cModelFlux_u
photoobj,cModelFlux_g
photoobj,cModelFlux_r
photoobj,cModelFlux_i
photoobj,cModelFlux_z
photoobj,cModelFluxIvar_u
photoobj,cModelFluxIvar_g
photoobj,cModelFluxIvar_r
photoobj,cModelFluxIvar_i
photoobj,cModelFluxIvar_z
photoobj,aperFlux7_u
photoobj,aperFlux7_g
photoobj,aperFlux7_r
photoobj,aperFlux7_i
photoobj,aperFlux7_z
photoobj,aperFlux7Ivar_u
photoobj,aperFlux7Ivar_g
photoobj,aperFlux7Ivar_r
photoobj,aperFlux7Ivar_i
photoobj,aperFlux7Ivar_z
photoobj,lnLStar_u
photoobj,lnLStar_g
photoobj,lnLStar_r
photoobj,lnLStar_i
photoobj,lnLStar_z
photoobj,lnLExp_u
photoobj,lnLExp_g
photoobj,lnLExp_r
photoobj,lnLExp_i
photoobj,lnLExp_z
photoobj,lnLDeV_u
photoobj,lnLDeV_g
photoobj,lnLDeV_r
photoobj,lnLDeV_i
photoobj,lnLDeV_z
photoobj,fracDeV_u
photoobj,fracDeV_g
photoobj,fracDeV_r
photoobj,fracDeV_i
photoobj,fracDeV_z
photoobj,flags_u
photoobj,flags_g
photoobj,flags_r
photoobj,flags_i
photoobj,flags_z
photoobj,ra
photoobj,dec
photoobj,cx
photoobj,cy
photoobj,cz
photoobj,raErr
photoobj,decErr
photoobj,b
photoobj,l
photoobj,offsetRa_u
photoobj,offsetRa_g
photoobj,offsetRa_r
photoobj,offsetRa_i
photoobj,offsetRa_z
photoobj,offsetDec_u
photoobj,offsetDec_g
photoobj,offsetDec_r
photoobj,offsetDec_i
photoobj,offsetDec_z
photoobj,extinction_u
photoobj,extinction_g
photoobj,extinction_r
photoobj,extinction_i
photoobj,extinction_z
photoobj,psffwhm_u
photoobj,psffwhm_g
photoobj,psffwhm_r
photoobj,psffwhm_i
photoobj,psffwhm_z
photoobj,airmass_u
photoobj,airmass_g
photoobj,airmass_r
photoobj,airmass_i
photoobj,airmass_z
photoobj,phioffset_u
photoobj,phioffset_g
photoobj,phioffset_r
photoobj,phioffset_i
photoobj,phioffset_z
photoobj,u
photoobj,g
photoobj,r
photoobj,i
photoobj,z
photoobj,err_u
photoobj,err_g
photoobj,err_r
photoobj,err_i
photoobj,err_z
photoobj,dered_u
photoobj,dered_g
photoobj,dered_r
photoobj,dered_i
photoobj,dered_z
photoobj,thingId
photoobj,balkanId
photoobj,score
photoobj,nMgyPerCount_u
photoobj,nMgyPerCount_g
photoobj,nMgyPerCount_r
photoobj,nMgyPerCount_i
photoobj,nMgyPerCount_z
photoobj,TAI_u
photoobj,TAI_g
photoobj,TAI_r
photoobj,TAI_i
photoobj,TAI_z
phototag_10000,obj
phototag_10000,flags
phototag_10000,flags_u
phototag_10000,flags_g
phototag_10000,flags_r
phototag_10000,flags_i
phototag_10000,flags_z
phototag_10000,psfMag_u
phototag_10000,psfMag_g
phototag_10000,psfMag_r
phototag_10000,psfMag_i
phototag_10000,psfMag_z
phototag_10000,psfMagErr_u
phototag_10000,psfMagErr_g
phototag_10000,psfMagErr_r
phototag_10000,psfMagErr_i
phototag_10000,psfMagErr_z
phototag_10000,petroMag_u
phototag_10000,petroMag_g
phototag_10000,petroMag_r
phototag_10000,petroMag_i
phototag_10000,petroMag_z
phototag_10000,petroMagErr_u
phototag_10000,petroMagErr_g
phototag_10000,petroMagErr_r
phototag_10000,petroMagErr_i
phototag_10000,petroMagErr_z
phototag_10000,petroR50_r
phototag_10000,petroR90_r
phototag_10000,modelMag_u
phototag_10000,modelMag_g
phototag_10000,modelMag_r
phototag_10000,modelMag_i
phototag_10000,modelMag_z
phototag_10000,modelMagErr_u
phototag_10000,modelMagErr_g
phototag_10000,modelMagErr_r
phototag_10000,modelMagErr_i
phototag_10000,modelMagErr_z
phototag_10000,cModelMag_u
phototag_10000,cModelMag_g
phototag_10000,cModelMag_r
phototag_10000,cModelMag_i
phototag_10000,cModelMag_z
phototag_10000,cModelMagErr_u
phototag_10000,cModelMagErr_g
phototag_10000,cModelMagErr_r
phototag_10000,cModelMagErr_i
phototag_10000,cModelMagErr_z
phototag_10000,mRrCc_r
phototag_10000,mRrCcErr_r
phototag_10000,fracDeV_u
phototag_10000,fracDeV_g
phototag_10000,fracDeV_r
phototag_10000,fracDeV_i
phototag_10000,fracDeV_z
phototag_10000,psffwhm_u
phototag_10000,psffwhm_g
phototag_10000,psffwhm_r
phototag_10000,psffwhm_i
phototag_10000,psffwhm_z
phototag_10000,thingId
phototag_10000,balkanId
phototag_10000,ra
phototag_10000,dec
phototag_10000,cx
phototag_10000,cy
phototag_10000,cz
phototag_10000,extinction_u
phototag_10000,extinction_g
phototag_10000,extinction_r
phototag_10000,extinction_i
phototag_10000,extinction_z
